"Datei","PlainAnswers","TotalAnswers"
"_Baumdiagramme vervollständigen Endwsk. verwenden.json","10","10"
"_Baumdiagramme vervollständigen Gegenwsk. verwenden.json","10","10"
"_Baumdiagramme vervollständigen Pfadmultiplikation direktes Anwenden.json","10","10"
"_Baumdiagramme vervollständigen Pfadmultiplikation mit Umformen.json","10","10"
"_Baumdiagramme vervollständigen stochastische Unabhängigkeit.json","10","10"
"ertragsgesetzliche-kostenfunktionen_kennzahlen-definition.json","5","5"
"ertragsgesetzliche-kostenfunktionen_nachweis.json","20","20"
"ertragsgesetzliche-kostenfunktionen_nachweis_parameter.json","5","5"
"ganzrationale-oekonomische-funktionen_kennzahlen-ansatz.json","14","14"
"ganzrationale-oekonomische-funktionen_kennzahlen-definition.json","14","14"
"marktgleichgewicht-grundlagen_kennzahlen-definition.json","6","6"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_BaumdiagrammErstellen_InfoUnabh.json","40","200"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_BaumdiagrammErstellen_Var1InfoUnabh.json","40","200"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_BaumdiagrammErstellen_Var1KeineInfoUnabh.json","60","200"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_BaumdiagrammErstellen_Var2InfoUnabh.json","40","200"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_BaumdiagrammErstellen_Var2KeineInfoUnabh.json","60","200"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_BaumdiagrammErstellen_Var3InfoUnabh.json","40","200"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_BaumdiagrammErstellen_Var3KeineInfoUnabh.json","60","200"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_VierFelderTafelErstellen_InfoUnabh.json","40","160"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_VierFelderTafelErstellen_keineInfoUnabh.json","60","160"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_VierFelderTafelErstellen_Var1InfoUnabh.json","160","160"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_VierFelderTafelErstellen_Var1keineInfoUnabh.json","160","160"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_VierFelderTafelErstellen_Var2InfoUnabh.json","160","160"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_VierFelderTafelErstellen_Var2keineInfoUnabh.json","160","160"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_VierFelderTafelErstellen_Var3keineInfoUnabh.json","160","160"
"Stochastik_Allgemein_Methoden der Wahrscheinlichkeitsrechnung_VierFelderTafelErstellen_Var4keineInfoUnabh.json","160","160"
"stochastik_binomialverteilung_interpretation-parameter.json","6","6"
"stochastik_binomialverteilung_pruefung-binomial.json","6","6"
"stochastik_mehrstufige-zufallsexperimente_baumdiagramm-aufstellen.json","15","15"
"stochastik_zufallsexperimente-und-wahrscheinlichkeiten_grundbegriffe-zufallsexperiment.json","4","4"
"stochastik_zufallsexperimente-und-wahrscheinlichkeiten_laplace.json","4","4"
"stochastik_zufallsexperimente-und-wahrscheinlichkeiten_mengenoperationen.json","8","8"
"stochastik_zufallsgroessen_aufstellen-wkt-verteilung.json","6","6"
"stochastik_zufallsgroessen_interpretationen.json","53","53"
